title,id,price,condition,availability,channel,feed label,language,additional image link,all clicks,brand,description,image link,link,rating average,rating count,shipping(country),new_title,meta_description,image_alt
Tecnico Reposado Tequila,5b1fa9312f57ec1e10977716,27.99 USD,new,out of stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,0,,"Get Tecnico Reposado Tequila from Legacy Wine and Liquor, Sanford, FL for $27.99",https://cityhive-production-cdn.cityhive.net/product_details/65b06968d127712bd2ef14b7/primary_image/large.png?sig=e1eaf3ecadb8a3f7411ec5d384d18900b86f2dbb6050d38fbb0b21a937f98cf4,https://legacywineandliquor.com/shop/product/tecnico-reposado-tequila/5b1fa9312f57ec1e10977716?option-id=72b76437ae1950fdbfdc49672351cdd1e76be236d45272cd5b7ad9ed3e4fb50c,,,US,Tecnico Reposado Tequila - Premium Spirit for $27.99,,"Meta: Discover Tecnico Reposado Tequila at Legacy Wine and Liquor, Sanford, FL. Shop now for just $27.99 and elevate your spirits collection."
Legend Paso Robles California Chardonnay White Wine,633e1711e1902b4d65b3b2e3,17.99 USD,new,out of stock,Online,US,en,,0,,"Get Legend Paso Robles California Chardonnay White Wine from Legacy Wine and Liquor, Sanford, FL for $17.99",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/legend-paso-robles-california-chardonnay-white-wine/633e1711e1902b4d65b3b2e3?option-id=89d2ed582a96955342c9a3d20e70f6728da9b4abe8d1002decfc029746731f9e,,,US,Legend Paso Robles Chardonnay White Wine - California,,Meta: Discover Legend Paso Robles Chardonnay at Legacy Wine. Buy now for $17.99 and savor the taste of California's finest. Limited stock!
Jagermeister Liqueur,56cab5ca7562752ed5371700,49.99 USD,new,out of stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/products/5a82d4fbc7f3a37bb81e493d/large.png?format=square,0,Jagermeister,"Nature made it, we put it in a bottle. The highest-grade herbs, blossoms, roots and fruits from around the globe are crafted into 4 distinct macerates, then combined in modern-day alchemy into our herbal spirit. The full ingredient list is a closely guarded secret, but raise a glass to your lips and you’ll taste all 4 corners of the world.

Our taste profile stands out in any crowd. True connoisseurs can single out Jägermeister’s 5 distinct notes; we can't tell you how we make them, but here's a hint…",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/jagermeister-liqueur/56cab5ca7562752ed5371700?option-id=c61facfc08b3bdacf3b6ba423a0064eb37c03a5cc19089287bdf79d7bd583344,4.5,19.0,US,Jägermeister Herbal Liqueur - Premium Global Ingredients,,Meta: Discover Jägermeister's unique herbal liqueur. Taste the world with our secret blend. Shop now for an unparalleled experience.
Hinch The Time Collection Peated Single Malt Irish Whiskey,607a05a5d69f4e638995b996,39.99 USD,new,out of stock,Online,US,en,,0,,"Get Hinch The Time Collection Peated Single Malt Irish Whiskey from Legacy Wine and Liquor, Sanford, FL for $39.99",https://cityhive-production-cdn.cityhive.net/products/60da19fe6afcea64d083bc63/large.png?format=square,https://legacywineandliquor.com/shop/product/hinch-the-time-collection-peated-single-malt-irish-whiskey/607a05a5d69f4e638995b996?option-id=dfe31aaf289cb7dd00ba5e75d186b61fa71262727bddea5734d66e75aee79d19,,,US,Hinch Peated Single Malt Irish Whiskey - Time Collection,,Meta: Discover Hinch Peated Single Malt Irish Whiskey at Legacy Wine & Liquor. Shop now for just $39.99. Elevate your collection today!
Ca Montebello Pinot Noir IGT,59130aa55b7cef6c8d1ad553,12.99 USD,new,in stock,Online,US,en,,0,Montebello,"Get Ca Montebello Pinot Noir IGT from Legacy Wine and Liquor, Sanford, FL for $12.99",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/ca-montebello-pinot-noir-igt/59130aa55b7cef6c8d1ad553?option-id=582a72db08b34e64a0b8bc49832b6bf8af148a3de0e4bae748e998a971198052,,,US,Ca Montebello Pinot Noir IGT - Premium Red Wine Online,Discover Ca Montebello Pinot Noir IGT at Legacy Wine. Order now for $12.99 and enjoy exquisite flavors.,Ca Montebello Pinot Noir IGT Bottle from Legacy Wine
Modelo Especial Mexican Lager,58a7464001ff95307e9d5dc0,2.15 USD,new,out of stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/products/6095c7c22f56d35be865ca34/large.png?format=square,0,Grupo Modelo,Modelo Beer Cans 4PK 64 Floz,https://cityhive-production-cdn.cityhive.net/products/6095c7c22f56d35be865ca34/large.png,https://legacywineandliquor.com/shop/product/modelo-especial-mexican-lager/58a7464001ff95307e9d5dc0?option-id=be5ae7f566a43bec7b6cac2f9dc24ca771911ebca4e5238be4002580fa11e259,,,US,Modelo Especial Mexican Lager Beer Cans 4PK 64oz,"Discover Modelo Especial Lager 4PK at [Brand]. Refreshing taste, order now!",Modelo Especial Mexican Lager Beer Cans 4PK 64oz
1800 Milenio Extra Anejo Tequila,58efa1234fca45252ebf6309,199.99 USD,new,out of stock,Online,US,en,,0,1800 Tequila,"An expression of the finest craftsmanship. After a long and delicate aging process, the extra-aged tequila is matured for a short period in French oak Cognac barrels creating a balanced, soft, and unique flavor with notes of vanilla, red fruit and cinnamon. A perfect expression of the land that nurtures the fine Weber blue agave and the hands that craft its final liquid, Milenio is considered the best representation of 1800 Tequila’s roots and worthy of only those who appreciate the finest tequila.",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/1800-milenio-extra-anejo-tequila/58efa1234fca45252ebf6309?option-id=9171166b711bc03881339bde74ab67288e10f18c821841f916dc294b092eb411,5.0,1.0,US,1800 Milenio Extra Añejo Tequila - Premium Aged Spirit,,Meta: Discover 1800 Milenio Extra Añejo Tequila. Experience rich flavors with French oak aging. Shop now for the ultimate taste of luxury.
Familia Camarena Tequila Reposado,56f46cf269702d7cbad41300,39.99 USD,new,in stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,0,Familia Camarena,"Familia Camarena Tequila Reposado is an award winning tequila that is incredibly smooth. Distilled exclusively in Jalisco, Mexico with 100% blue weber agave, this tequila delivers a flavor that is unmatched. Soft and smooth on the palate, this reposado tequila is best enjoyed straight or mixed in a margarita or paloma. This Reposado is aged in oak barrels for 60 days, imparting flavors of vanilla and caramel onto Camarena's natural agave sweetness.",https://cityhive-production-cdn.cityhive.net/products/684015d4d84a083485e1922c/large.png?format=square,https://legacywineandliquor.com/shop/product/familia-camarena-tequila-reposado/56f46cf269702d7cbad41300?option-id=91463a313ca5e3eb05af9a126ae51b51eace67bb40fe12e0486e557c510bbf94,5.0,1.0,US,Award-Winning Camarena Reposado Tequila - 100% Blue Agave,"Discover Camarena Reposado Tequila's smooth, award-winning taste. Crafted in Jalisco with 100% blue agave. Order now for a unique flavor experience!",Camarena Reposado Tequila Bottle with Blue Agave
Cruzan Banana Rum,56caa9e07562752ed58b1500,12.99 USD,new,out of stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/products/5ab3d3ff8ef90d474b261ba7/large.png?format=square,0,Cruzan,"Cruzan Banana Rum is a smooth and tropical spirit that brings the essence of ripe bananas to your cocktails. It's perfect for mixing into punch, daiquiris, or just sipping over ice for a tropical twist.",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/cruzan-banana-rum/56caa9e07562752ed58b1500?option-id=8e839a77d7cffb4bc2cabb7fafdc2a746eab6074a3312af802793de2b6da62ae,,,US,Tropical Banana Rum - Smooth & Exotic Flavor,,Meta: Discover Cruzan's Banana Rum. Elevate your cocktails with a tropical twist. Shop now for a taste of paradise!
Disaronno Originale Amaretto,56caac9d7562752ed5ff1500,10.99 USD,new,in stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/products/626f8cc2e4285b4fb92a3de4/large.png?format=square,21,,"Thanks to its smooth taste and unmistakable aroma, Disaronno is the World’s Favorite Italian Liqueur. The unique and distinctive design of the bottle made of a special faceted glass – created by master glass craftsmen from Murano, it is complimented by the original square cap and the golden label that add a sense of contemporary elegance and style.",https://cityhive-production-cdn.cityhive.net/products/626f8cc2e4285b4fb92a3de4/large.png,https://legacywineandliquor.com/shop/product/disaronno-originale-amaretto/56caac9d7562752ed5ff1500?option-id=e87c494757f67d315b071c7d3608761bbfdfb460fee869dcacecdfe80939be45,4.6,8.0,US,Disaronno Originale Amaretto Liqueur - Smooth Italian Favorite,,"Meta: Discover Disaronno Originale Amaretto, the world's favorite Italian liqueur. Shop now for a taste of elegance with our unique bottle design."
DeLoach 'Heritage Reserve' Cabernet Sauvignon,56c336f469702d27ed410000,14.99 USD,new,in stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/products/577ea85269702d2b4a9a0000/large.png?format=square,0,De Loach Vineyards,"This easy-to-drink Cabernet is classic in style. Aromas of black currant intermingle with fresh herbs de Provence, sure to entice you to the first sip. On the palate, lush, mouth-watering Santa Rosa plums mix with spicy black pepper, as the taste of rich caramel fills your palate. While soft upon entry, this well-balanced Cabernet firms up for a long, lasting finish.",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/deloach-heritage-reserve-cabernet-sauvignon/56c336f469702d27ed410000?option-id=80be826f22d87f65775802c079e1cb7d6d67574765848f7fd6fbc1572ac25d76,,,US,DeLoach Heritage Reserve Cabernet Sauvignon Wine 750ml,Discover DeLoach's Heritage Reserve Cabernet at [Brand]. Enjoy rich flavors and a long-lasting finish. Order now for a taste of elegance!,DeLoach Heritage Reserve Cabernet Sauvignon Wine Bottle
Exotico Blanco Tequila,570d601f69702d1ad3aa4600,24.99 USD,new,out of stock,Online,US,en,"https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://cityhive-production-cdn.cityhive.net/products/578e1f8c69702d0740f50100/large.png?format=square",0,Exotico,"Ultimate Spirits Challenge 85 points - Steely minerals, fresh grass and grapefruit zest create a refreshing set of aromas. In the mouth it starts soft and sweet, turning to gentle hot green chili spice, more minerals and lime zest. Each refreshing sip leaves the mouth dry and clean..March/2017",https://cityhive-production-cdn.cityhive.net/products/578e1f8c69702d0740f50100/large.png,https://legacywineandliquor.com/shop/product/exotico-blanco-tequila/570d601f69702d1ad3aa4600?option-id=2378418e60db774d3f336bc7405a35184d6cb65c66dda04829963a253e9cfcac,4.8,4.0,US,"Exotico Blanco Tequila - Premium Spirits, Refreshing & Bold",Discover Exotico Blanco Tequila by Exotico Spirits. Enjoy bold flavors with a refreshing finish. Buy now and elevate your cocktail experience!,Exotico Blanco Tequila bottle with refreshing aromas and bold flavors
On The Rocks Spiced Pear Whiskey Sour,66a0b4ae6b38b078bd67b674,10.99 USD,new,in stock,Online,US,en,"https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://cityhive-production-cdn.cityhive.net/products/66ec775627ef3336d11b3d81/large.png?format=square",5,On The Rocks,"Experience a seasonally-inspired, craft spin on an all-time classic - the Whiskey Sour with On The Rocks, OTR Spiced Pear Whiskey Sour Ready to Drink Cocktail. On The Rocks carefully crafts cocktails that make the moment. On the sofa, by the pool, at a festival, this Spiced Pear Whiskey Sour is ready to pour over ice and enjoy. Developed by mixologists, On The Rocks cocktails bring the bar to you with premium spirits and pure creativity. Enjoyed by cocktail drinkers for well over 100 years, transcending centuries, and inspiring hundreds of drink variations, The Whiskey Sour is perfect for those eager to enjoy a cozy drink fit for the colder months. OTR The Spiced Pear Whiskey Sour is made with Old Overholt Rye Whiskey for a perfectly balanced taste. Just pour over ice for effortless enjoyment, whether you’re flying back home or finishing the 9-to-5. Garnish with a pear slice and cinnamon sticks to elevate the evening. Each bottle contains 20% alcohol by volume and should be enjoyed responsibly. OTR delivers the bar wherever you are. Just open, pour over ice, and enjoy.",https://cityhive-production-cdn.cityhive.net/products/66ec775627ef3336d11b3d81/large.png,https://legacywineandliquor.com/shop/product/on-the-rocks-spiced-pear-whiskey-sour/66a0b4ae6b38b078bd67b674?option-id=57a78ecc8b53ed6939bbd7423738e994b375c8576c3ecb40e51261d03b6372ce,5.0,1.0,US,"Spiced Pear Whiskey Sour Cocktail - Ready to Drink, 20% ABV",,Meta: Discover On The Rocks Spiced Pear Whiskey Sour. Enjoy premium cocktails at home. Just pour over ice and savor the taste. Shop now!
Avaline Pinot Noir,650cf092e3bd07088d330435,27.99 USD,new,in stock,Online,US,en,,0,Avaline,"cherries, raspberries, earthy, and a hint of spice",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/avaline-organic-pinot-noir-533r/650cf092e3bd07088d330435?option-id=e762fbce8a3ffec1aff81ae5bb94c048030d8763c503b71ffa0cae7c964fc8cb,,,US,Organic Avaline Pinot Noir - Rich Cherry & Spice Flavors,,Meta: Discover Avaline Pinot Noir by Avaline Wines. Enjoy rich cherry & spice notes. Shop now for premium organic wines!
Don Q Limon,56c28925756275139db40000,15.99 USD,new,in stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/products/5f1f292e0dcac5463473a5a8/large.png?format=square,0,Don Q,"The refreshing idea for Don Q Limon was born from the spirit of Puerto Rican, not imported, lime. It is a transparent Premium rum aged one to three years; a tropical spirit with exotic smoothness resulting in the flavor of the island's limes. The rum with the smoothest flavor, with excellent mixing possibilities.",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/don-q-limon/56c28925756275139db40000?option-id=73b3de284fff3b9d191a292a507afac807751bd8f8616773ad135b363f12d17b,,,US,Don Q Limon Premium Puerto Rican Rum - Smooth & Exotic,,"Meta: Discover Don Q Limon by Don Q Rum. Experience the smooth, exotic flavor of Puerto Rican limes. Perfect for mixing. Shop now!"
Delivery Charge,66032bfef054eb2b2e0fbc1a,10.00 USD,new,in stock,Online,US,en,,0,,"Get Delivery Charge from Legacy Wine and Liquor, Sanford, FL for $10",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/delivery-charge/66032bfef054eb2b2e0fbc1a?option-id=5f9d79b9c113010d701937b535721ec5b6aad9e43b45d68ab74e29e8c8ec6f11,,,US,Affordable Delivery Service - Legacy Wine & Liquor Sanford,,"Meta: Enjoy $10 delivery from Legacy Wine & Liquor, Sanford. Order now for quick and reliable service!"
Lay's Potato Chips Barbecue Flavored,588778dabfb2415bc5048168,0.99 USD,new,out of stock,Online,US,en,,0,Lay's,"Wherever celebrations and good times happen, the LAY'S brand will be there just as it has been for more than 75 years. With flavors almost as rich as our history, we have a chip or crisp flavor guaranteed to bring a smile on your face.",https://cityhive-production-cdn.cityhive.net/products/6578f34c69ae535a66a01441/large.png?format=square,https://legacywineandliquor.com/shop/product/lays-potato-chips-barbecue-flavored-/588778dabfb2415bc5048168?option-id=da0c381f637054ab0d41e8f46b1bcb9a1a1cfd8039cad66a83858be7a39d71d0,,,US,Lay's BBQ Flavored Potato Chips - Crunchy Snack Delight,"Discover Lay's BBQ Chips, a flavorful snack from a trusted brand. Perfect for every celebration. Grab a bag and enjoy the taste of tradition!",Lay's Barbecue Flavored Potato Chips Bag
Altos de Luzon Red,56eb9c4969702d5654731c00,18.99 USD,new,in stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,0,,"Deep red with ruby highlights. They are expressive and intense, with notes of red and black fruits, sweet spices and soft smoked from the aging. In the mouth it is frank with a lively freshness that speaks of the vintage, supported by its fruity character. With a broad and voluminous palate, with fine tannins and a persistent finish in which its complexity can be appreciated. It is a unique red that transmits our terroir and philosophy.",https://cityhive-production-cdn.cityhive.net/products/57342ea169702d3049040400/large.png?format=square,https://legacywineandliquor.com/shop/product/altos-de-luzon-red/56eb9c4969702d5654731c00?option-id=eb894dd77f345969aca5201b40340d9c4e02fb632d501691e7a70ddfef4e7a34,,,US,"Altos de Luzon Red Wine - Rich, Fruity & Complex 750ml",,Meta: Discover Altos de Luzon Red Wine by Luzon Wines. Enjoy rich flavors and a complex finish. Order now for a taste of our unique terroir.
On the Rocks Cruzan Strawberry Daiquiri,65ae95c651ef544602127404,10.99 USD,new,out of stock,Online,US,en,"https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://cityhive-production-cdn.cityhive.net/products/66ec77dfaeb246047c3ec560/large.png?format=square",0,On The Rocks,"Indulge in the refreshing taste of On the Rocks Cocktails Cruzan Strawberry Daiquiri. This ready-to-drink cocktail features the perfect blend of Cruzan Strawberry Daiquiri flavor, making it a delightful choice for any occasion. With a convenient size of 375 ml, it is ideal for enjoying on your own or sharing with friends. The cocktail has an alcohol content of 40 Proof, ensuring a smooth and enjoyable drinking experience. Sit back, relax, and savor the deliciousness of On the Rocks Cocktails Cruzan Strawberry Daiquiri.",https://cityhive-production-cdn.cityhive.net/products/66ec77dfaeb246047c3ec560/large.png,https://legacywineandliquor.com/shop/product/on-the-rocks-cruzan-strawberry-daiquiri/65ae95c651ef544602127404?option-id=3f40f4a8b80e22e6dd4bed511f98a97aed3a7f854fa30c645d45074f96e06df3,,,US,Refreshing Cruzan Strawberry Daiquiri Cocktail 375ml,,Meta: Discover On the Rocks Cruzan Strawberry Daiquiri. Ready-to-drink delight. Perfect for any occasion. Order now and enjoy a taste of paradise!
Smirnoff Peach Lemonade Vodka,61d328a46804fa3aea08ef4d,12.99 USD,new,out of stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/products/665fa7d43ba88a40fcb0cbf6/large.png?format=square,0,Smirnoff,"Smirnoff Peach is infused with the natural flavor of juicy peaches for a sweet and fruity taste. This spirit has a pleasant sweetness and pairs best with soda water, lemonade, or iced tea. Smirnoff Peach is Kosher Certified and gluten free.",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/smirnoff-peach-lemonade-vodka/61d328a46804fa3aea08ef4d?option-id=92a40993e5e5fc18ad8a30eedb54dc5c89af9a98d72738dbfd87e00da8eee942,,,US,Smirnoff Peach Lemonade Vodka - Juicy Peach Flavor,"Discover Smirnoff's Peach Lemonade Vodka. Enjoy a sweet, fruity taste. Kosher & gluten-free. Shop now for a refreshing twist!",Smirnoff Peach Lemonade Vodka Bottle with Juicy Peach Flavor
Johnnie Walker Scotch Red Label,61944542d8d57a1079449c4f,34.99 USD,new,out of stock,Online,US,en,,0,Johnnie Walker,"One of the world's best selling Scotch whiskies. Fresh and robust, this powerful combination of spicy, smoky malts and lingering, lighter grains is perfect for mixing. A distinctive strength of character and a fullness of flavor provides international appeal.",https://cityhive-production-cdn.cityhive.net/products/65c13533f0f83c2c12bfc606/large.png?format=square,https://legacywineandliquor.com/shop/product/johnnie-walker-scotch-red-label/61944542d8d57a1079449c4f?option-id=39e5a2bacb3224b837c29dfe7ca8e6413456c56154c4a53d322706fabe882764,4.1,38.0,US,Johnnie Walker Red Label Scotch Whisky - Bold & Spicy Blend,,"Meta: Discover Johnnie Walker Red Label at [Your Brand]. Bold, spicy flavor perfect for mixing. Shop now for a classic Scotch experience!"
Corkscrew,6568bbae77662f10ac9fd58a,0.93 USD,new,in stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/products/5f5f7ed73df06f5dd37287f5/large.png?format=square,0,,"Uncorking is effortless thanks to the superior double-hinged design and non-stick worm of the Truetap Double-Hinged Corkscrew. Complete with an integrated bottle opener and serrated foil cutter, it’s our most iconic wine opener.

Adorned with Brown Derby Stores logo.",https://cityhive-production-cdn.cityhive.net/products/5f5f7ed73df06f5dd37287f5/large.png,https://legacywineandliquor.com/shop/product/corkscrew/6568bbae77662f10ac9fd58a?option-id=281cb75518b191ac582c34d665058539ee4360bc5c65018e4eade1c304c42878,,,US,Truetap Double-Hinged Corkscrew with Bottle Opener,,Meta: Discover effortless uncorking with Truetap at Brown Derby Stores. Shop now for the iconic double-hinged corkscrew with integrated opener.
Chandon Brut,5521cefc6561310003e70300,19.99 USD,new,in stock,Online,US,en,,0,Chandon,"A signature expression of California sparkling wine, Chandon Brut is crafted using the traditional method from a blend of Chardonnay, Pinot Noir, and Meunier. It opens with bright aromas of green apple, citrus blossom, and pear, complemented by hints of almond and brioche. The palate is crisp and vibrant, with fine bubbles, refreshing acidity, and a clean, dry finish. A versatile and balanced Brut, ideal for any occasion.",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/chandon-brut/5521cefc6561310003e70300?option-id=8d43b0c077304b3ac2e4063546e672d1d48839f2d9672ea87ea92f51e6bbf684,3.7,6.0,US,Chandon Brut California Sparkling Wine - Crisp & Vibrant Bubbles,,Meta: Discover Chandon Brut by Chandon - a crisp California sparkling wine. Shop now for a vibrant taste experience. Perfect for any celebration!
1800 Reposado Tequila Gift Pack,61083991b5b7aa2ac31f2046,31.99 USD,new,out of stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,0,1800 Tequila,"Get 1800 Reposado Tequila Gift Pack from Legacy Wine and Liquor, Sanford, FL for $31.99",https://cityhive-production-cdn.cityhive.net/products/65f1d92f190fbf2c0e0c53da/large.png?format=square,https://legacywineandliquor.com/shop/product/1800-reposado-tequila-gift-pack/61083991b5b7aa2ac31f2046?option-id=783e3796164a97130d9ca9dc1a70cdd7e5486ffb6b303d27b007e9efa0cb961e,,,US,Premium 1800 Reposado Tequila Gift Set - Perfect for Any Occasion,,Meta: Shop 1800 Reposado Tequila Gift Set at Legacy Wine & Liquor. Buy now for $31.99 and enjoy premium quality. Perfect gift for tequila lovers!
Parrot Bay Gold Rum,621e4733ab145774e4768a2d,12.99 USD,new,in stock,Online,US,en,,0,Parrot Bay,This is like sweet drued sugary coconut flakes on pastry. Plus vanilla. Some burn but mostly comes off super pastry sugary.,https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/parrot-bay-gold-rum/621e4733ab145774e4768a2d?option-id=d44734c3483a26c3f29a4067f90d193a85084a1e78f5d1a911537b92ccecfeab,,,US,Parrot Bay Gold Coconut Rum - Sweet Vanilla Pastry Flavor,,Meta: Discover Parrot Bay Gold Rum's sweet coconut and vanilla notes. Shop now for a taste of paradise with a hint of pastry sweetness!
Stone Ledge Spirits Inverxion Vodka,649f775586ce66364c00ea6e,25.99 USD,new,in stock,Online,US,en,,0,,"Get Stone Ledge Spirits Inverxion Vodka from Legacy Wine and Liquor, Sanford, FL for $25.99",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/stone-ledge-spirits-inverxion-vodka/649f775586ce66364c00ea6e?option-id=ba84a6b93a62e31af3ebb765ce3e10b5d27bcef1679a91e6671b56124af8f7c7,,,US,Premium Inverxion Vodka by Stone Ledge Spirits - Buy Online,,Meta: Discover Stone Ledge Spirits Inverxion Vodka at Legacy Wine & Liquor. Order now for just $25.99 and enjoy premium quality!
Barton Gold,6197dc03ef17f858c8486777,10.99 USD,new,in stock,Online,US,en,,0,Barton & Guestier,"Medium bodied, rich, and balanced. Ideal for mixing long island drinks or enjoyed straight up.",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/barton-gold/6197dc03ef17f858c8486777?option-id=3703aaf6ac23a83303d2fddd8b835ec18756c9ccdcc9fa09d4fab6826a52b20f,,,US,Barton Gold Rum - Rich & Balanced for Cocktails or Straight,,"Meta: Discover Barton Gold Rum - rich, balanced, perfect for cocktails. Shop now for premium taste and elevate your drinks with our top-quality rum."
Elijah Craig Small Batch Bourbon,5521cef16561310003050100,34.99 USD,new,out of stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,0,Elijah Craig,"Elijah Craig is credited as the first distiller to age his whiskey in charred oak barrels, earning his place in history as the 'Father of Bourbon.' The charred barrel transformed the clear liquid inside into an intense amber whiskey made rich with the flavors of the wood which we now recognize as Bourbon.
Elijah Craig Small Batch is distilled, aged, and bottled in Kentucky from a traditional Bourbon mashbill of 78% Corn, 10% Rye and 12% Malted Barley and then aged for 8 to 12 years in #3 char new American oak barrels. The result of each Small Batch is a signature warm spice and subtle smoke flavor.
Winner of ""Best Small Batch Bourbon"" and Double Gold medal at San Francisco World Spirits Competition and a 93 Point, ""Excellent, Highly Recommended"" rating at the Ultimate Spirits Competition.",https://cityhive-production-cdn.cityhive.net/products/686f032f05a6d331414ac69d/large.png?format=square,https://legacywineandliquor.com/shop/product/elijah-craig-small-batch-bourbon/5521cef16561310003050100?option-id=05d4ac7f49f3bb18e0bec672330791b713a5e43a2775a28c8e7791af570a3800,3.8,79.0,US,Elijah Craig Small Batch Bourbon - Award-Winning Kentucky Whiskey,,"Meta: Discover Elijah Craig Small Batch Bourbon, a Kentucky classic with rich flavors. Shop now for award-winning taste. Perfect for bourbon enthusiasts."
Larceny Barrel Proof Brourbon,5e21e94d0320ad0f80403af4,69.99 USD,new,in stock,Online,US,en,,0,Larceny,"Larceny Barrel Proof is the first line-extension of the Larceny Family and offers whiskey aficionados an opportunity to experience our Bourbon as our distillers do: straight out of the barrel. First released in January 2020, each release consists of f 6 to 8-year-old Bourbon bottled at barrel proof and non-chill filtered to showcase a deeper character, richness and depth of flavor. Like Small Batch, Larceny Barrel Proof is made with 25% more wheat than competitors for a smoother taste. It tastes of rich molasses that coats the tongue, with notes of fig and hazelnut. Its nuanced flavor fades into lingering warmth. Larceny Barrel Proof is the first Wheated Bourbon to ever be named Whisky Advocate's “Whisky of the Year” in 2020. In 2024, Larceny Barrel Proof was awarded Best of Class from the American Distilling Institute. Pick up a bottle today and unlock our wheated difference.",https://cityhive-production-cdn.cityhive.net/products/686efa36e9b72b699e785163/large.png?format=square,https://legacywineandliquor.com/shop/product/larceny-barrel-proof-brourbon/5e21e94d0320ad0f80403af4?option-id=f7d916d860bc19fb3f5b76ba1490b98851104085bb9b3b7e9497c33d120bee85,4.1,7.0,US,Larceny Barrel Proof Bourbon - Award-Winning Wheated Whiskey,,"Meta: Discover Larceny Barrel Proof Bourbon by Larceny. Experience rich, smooth flavors straight from the barrel. Buy now and taste the wheated difference!"
